Store ID,Location ID,GBP link,googleId
1120,3920968,https://business.google.com/n/17568778377143687730/profile,17568778377143687730
1140,3920969,https://business.google.com/n/4182732182830119666/profile,4182732182830119666
1146,3920970,https://business.google.com/n/10383974359180794186/profile,10383974359180794186
1161,3920972,https://business.google.com/n/4811343917808948927/profile,4811343917808948927
5008,3921946,https://business.google.com/n/8264653285667446471/profile,8264653285667446471
5042,3921969,https://business.google.com/n/5506456903534405650/profile,5506456903534405650
5053,3921976,https://business.google.com/n/18160109537800855047/profile,18160109537800855047
5071,3921985,https://business.google.com/n/8560661383802105161/profile,8560661383802105161
5093,3921997,https://business.google.com/n/15222953296776626835/profile,15222953296776626835
5103,3922001,https://business.google.com/n/9552842755239641303/profile,9552842755239641303
5211,3922060,https://business.google.com/n/11997081921238664906/profile,11997081921238664906
5274,3922102,https://business.google.com/n/16829100561226916317/profile,16829100561226916317
5286,3922107,https://business.google.com/n/307301744382422064/profile,307301744382422064
5362,3922156,https://business.google.com/n/7774673510815143652/profile,7774673510815143652
5479,3922213,https://business.google.com/n/4234070595002047622/profile,4234070595002047622
5665,3922297,https://business.google.com/n/4438401785245653427/profile,4438401785245653427
5719,3922321,https://business.google.com/n/192149310784018367/profile,192149310784018367
6639,3923033,https://business.google.com/n/1816007492514537568/profile,1816007492514537568
6738,3923107,https://business.google.com/n/3168886209749061891/profile,3168886209749061891
7144,3923362,https://business.google.com/n/11551368180657441937/profile,11551368180657441937
7488,3923632,https://business.google.com/n/10286997681705901205/profile,10286997681705901205
7495,3923639,https://business.google.com/n/3488120267538587730/profile,3488120267538587730
7533,3923666,https://business.google.com/n/13803202443460963896/profile,13803202443460963896
8157,3924026,https://business.google.com/n/12339516087664096424/profile,12339516087664096424
9761,3925078,https://business.google.com/n/13010767276283111976/profile,13010767276283111976
9762,3925079,https://business.google.com/n/2625142745051128416/profile,2625142745051128416
7153,1066870171,https://business.google.com/n/6953589911725787017/profile,6953589911725787017
